date,trade_count,wins,losses,gross_pnl,net_pnl,avg_win,avg_loss,win_rate,max_single_loss,max_single_win,killswitch_triggered,day_result
2020-01-02,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-01-03,5,1,4,347.5,253.0,348.6,-23.9,20.0,-23.9,348.6,0,WIN
2020-01-06,4,1,3,552.5,476.9,548.6,-23.9,25.0,-23.9,548.6,0,WIN
2020-01-07,5,2,3,165.0,70.5,71.1,-23.9,40.0,-23.9,126.1,0,WIN
2020-01-08,5,1,4,725.0,630.5,726.1,-23.9,20.0,-23.9,726.1,0,WIN
2020-01-09,4,1,3,185.0,109.4,181.1,-23.9,25.0,-23.9,181.1,0,WIN
2020-01-10,5,1,4,280.0,185.5,281.1,-23.9,20.0,-23.9,281.1,0,WIN
2020-01-13,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-01-14,4,1,3,262.5,186.9,258.6,-23.9,25.0,-23.9,258.6,0,WIN
2020-01-15,4,1,3,245.0,169.4,241.1,-23.9,25.0,-23.9,241.1,0,WIN
2020-01-16,5,1,4,150.0,55.5,151.1,-23.9,20.0,-23.9,151.1,0,WIN
2020-01-17,4,1,3,20.0,-55.6,16.1,-23.9,25.0,-23.9,16.1,0,LOSS
2020-01-20,2,0,2,-10.0,-47.8,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-01-21,5,2,3,1000.0,905.5,488.6,-23.9,40.0,-23.9,746.1,0,WIN
2020-01-22,4,1,3,255.0,179.4,251.1,-23.9,25.0,-23.9,251.1,0,WIN
2020-01-23,5,1,4,275.0,180.5,276.1,-23.9,20.0,-23.9,276.1,0,WIN
2020-01-24,5,2,3,347.5,253.0,162.35,-23.9,40.0,-23.9,198.6,0,WIN
2020-01-27,4,1,3,435.0,359.4,431.1,-23.9,25.0,-23.9,431.1,0,WIN
2020-01-28,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-01-29,5,1,4,195.0,100.5,196.1,-23.9,20.0,-23.9,196.1,0,WIN
2020-01-30,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-01-31,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-02-03,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-02-04,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-02-05,4,1,3,280.0,204.4,276.1,-23.9,25.0,-23.9,276.1,0,WIN
2020-02-06,5,2,3,242.5,148.0,109.85,-23.9,40.0,-23.9,166.1,0,WIN
2020-02-07,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-02-10,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-02-11,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-02-12,5,1,4,130.0,35.5,131.1,-23.9,20.0,-23.9,131.1,0,WIN
2020-02-13,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-02-14,4,1,3,267.5,191.9,263.6,-23.9,25.0,-23.9,263.6,0,WIN
2020-02-17,3,1,2,527.5,470.8,518.6,-23.9,33.33,-23.9,518.6,0,WIN
2020-02-18,3,0,3,-15.0,-71.7,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-02-19,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-02-20,5,1,4,275.0,180.5,276.1,-23.9,20.0,-23.9,276.1,0,WIN
2020-02-21,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-02-24,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-02-25,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-02-26,6,3,3,1570.0,1456.6,509.43,-23.9,50.0,-23.9,976.1,0,WIN
2020-02-27,5,2,3,1475.0,1380.5,726.1,-23.9,40.0,-23.9,976.1,0,WIN
2020-02-28,1,0,1,-5.0,-23.9,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-03-02,6,2,4,1470.0,1356.6,726.1,-23.9,33.33,-23.9,976.1,0,WIN
2020-03-03,6,2,4,1120.0,1006.6,551.1,-23.9,33.33,-23.9,976.1,0,WIN
2020-03-04,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-03-05,6,2,4,420.0,306.6,201.1,-23.9,33.33,-23.9,276.1,0,WIN
2020-03-06,4,1,3,130.0,54.4,126.1,-23.9,25.0,-23.9,126.1,0,WIN
2020-03-09,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-03-10,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-03-11,6,3,3,920.0,806.6,292.77,-23.9,50.0,-23.9,476.1,0,WIN
2020-03-12,9,6,3,2505.0,2334.9,401.1,-23.9,66.67,-23.9,976.1,0,WIN
2020-03-13,5,2,3,575.0,480.5,276.1,-23.9,40.0,-23.9,276.1,0,WIN
2020-03-16,6,3,3,1270.0,1156.6,409.43,-23.9,50.0,-23.9,976.1,0,WIN
2020-03-17,5,2,3,775.0,680.5,376.1,-23.9,40.0,-23.9,476.1,0,WIN
2020-03-18,7,5,2,3465.0,3332.7,676.1,-23.9,71.43,-23.9,976.1,0,WIN
2020-03-19,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-03-23,7,4,3,2265.0,2132.7,551.1,-23.9,57.14,-23.9,976.1,0,WIN
2020-03-24,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-03-25,5,3,2,2475.0,2380.5,809.43,-23.9,60.0,-23.9,976.1,0,WIN
2020-03-26,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-03-27,5,1,4,275.0,180.5,276.1,-23.9,20.0,-23.9,276.1,0,WIN
2020-03-30,5,1,4,147.5,53.0,148.6,-23.9,20.0,-23.9,148.6,0,WIN
2020-03-31,6,2,4,1270.0,1156.6,626.1,-23.9,33.33,-23.9,976.1,0,WIN
2020-04-01,6,2,4,620.0,506.6,301.1,-23.9,33.33,-23.9,476.1,0,WIN
2020-04-02,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-04-03,7,3,4,1415.0,1282.7,459.43,-23.9,42.86,-23.9,976.1,0,WIN
2020-04-06,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-04-07,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-04-08,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-04-09,4,2,2,1280.0,1204.4,626.1,-23.9,50.0,-23.9,976.1,0,WIN
2020-04-13,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-04-14,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-04-15,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-04-16,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-04-17,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-04-20,6,2,4,270.0,156.6,126.1,-23.9,33.33,-23.9,126.1,0,WIN
2020-04-21,6,3,3,1420.0,1306.6,459.43,-23.9,50.0,-23.9,976.1,0,WIN
2020-04-22,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-04-23,6,4,2,2420.0,2306.6,588.6,-23.9,66.67,-23.9,976.1,0,WIN
2020-04-24,5,1,4,275.0,180.5,276.1,-23.9,20.0,-23.9,276.1,0,WIN
2020-04-27,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-04-28,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-04-29,6,2,4,1120.0,1006.6,551.1,-23.9,33.33,-23.9,976.1,0,WIN
2020-04-30,5,2,3,425.0,330.5,201.1,-23.9,40.0,-23.9,276.1,0,WIN
2020-05-01,5,1,4,275.0,180.5,276.1,-23.9,20.0,-23.9,276.1,0,WIN
2020-05-04,6,2,4,620.0,506.6,301.1,-23.9,33.33,-23.9,476.1,0,WIN
2020-05-05,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-05-06,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-05-07,5,1,4,177.5,83.0,178.6,-23.9,20.0,-23.9,178.6,0,WIN
2020-05-08,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-05-11,5,1,4,275.0,180.5,276.1,-23.9,20.0,-23.9,276.1,0,WIN
2020-05-12,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-05-13,7,3,4,1115.0,982.7,359.43,-23.9,42.86,-23.9,476.1,0,WIN
2020-05-14,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-05-15,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-05-18,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-05-19,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-05-20,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-05-21,5,2,3,1257.5,1163.0,617.35,-23.9,40.0,-23.9,976.1,0,WIN
2020-05-22,6,3,3,1420.0,1306.6,459.43,-23.9,50.0,-23.9,976.1,0,WIN
2020-05-25,3,0,3,-15.0,-71.7,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-05-26,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-05-27,5,1,4,475.0,380.5,476.1,-23.9,20.0,-23.9,476.1,0,WIN
2020-05-28,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-05-29,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-06-01,4,1,3,300.0,224.4,296.1,-23.9,25.0,-23.9,296.1,0,WIN
2020-06-02,5,2,3,715.0,620.5,346.1,-23.9,40.0,-23.9,566.1,0,WIN
2020-06-03,4,1,3,115.0,39.4,111.1,-23.9,25.0,-23.9,111.1,0,WIN
2020-06-04,5,2,3,1607.5,1513.0,792.35,-23.9,40.0,-23.9,976.1,0,WIN
2020-06-05,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-06-08,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-06-09,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-06-10,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-06-11,6,2,4,420.0,306.6,201.1,-23.9,33.33,-23.9,276.1,0,WIN
2020-06-12,5,2,3,1275.0,1180.5,626.1,-23.9,40.0,-23.9,976.1,0,WIN
2020-06-15,5,1,4,475.0,380.5,476.1,-23.9,20.0,-23.9,476.1,0,WIN
2020-06-16,4,1,3,980.0,904.4,976.1,-23.9,25.0,-23.9,976.1,0,WIN
2020-06-17,4,2,2,717.5,641.9,344.85,-23.9,50.0,-23.9,546.1,0,WIN
2020-06-18,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-06-22,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-06-23,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-06-24,6,3,3,420.0,306.6,126.1,-23.9,50.0,-23.9,126.1,0,WIN
2020-06-25,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-06-26,5,2,3,437.5,343.0,207.35,-23.9,40.0,-23.9,288.6,0,WIN
2020-06-29,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-06-30,1,0,1,-5.0,-23.9,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-07-01,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-07-02,4,1,3,450.0,374.4,446.1,-23.9,25.0,-23.9,446.1,0,WIN
2020-07-03,2,0,2,-10.0,-47.8,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-07-06,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-07-07,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-07-08,5,3,2,1087.5,993.0,346.93,-23.9,60.0,-23.9,476.1,0,WIN
2020-07-09,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-07-10,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-07-13,4,1,3,817.5,741.9,813.6,-23.9,25.0,-23.9,813.6,0,WIN
2020-07-14,5,1,4,475.0,380.5,476.1,-23.9,20.0,-23.9,476.1,0,WIN
2020-07-15,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-07-16,6,3,3,1420.0,1306.6,459.43,-23.9,50.0,-23.9,976.1,0,WIN
2020-07-17,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-07-20,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-07-21,4,2,2,630.0,554.4,301.1,-23.9,50.0,-23.9,476.1,0,WIN
2020-07-22,5,1,4,275.0,180.5,276.1,-23.9,20.0,-23.9,276.1,0,WIN
2020-07-23,4,1,3,280.0,204.4,276.1,-23.9,25.0,-23.9,276.1,0,WIN
2020-07-24,5,2,3,775.0,680.5,376.1,-23.9,40.0,-23.9,476.1,0,WIN
2020-07-27,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-07-28,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-07-29,5,2,3,1010.0,915.5,493.6,-23.9,40.0,-23.9,976.1,0,WIN
2020-07-30,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-07-31,5,1,4,275.0,180.5,276.1,-23.9,20.0,-23.9,276.1,0,WIN
2020-08-03,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-08-04,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-08-05,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-08-06,5,1,4,262.5,168.0,263.6,-23.9,20.0,-23.9,263.6,0,WIN
2020-08-07,4,1,3,980.0,904.4,976.1,-23.9,25.0,-23.9,976.1,0,WIN
2020-08-10,4,1,3,980.0,904.4,976.1,-23.9,25.0,-23.9,976.1,0,WIN
2020-08-11,5,1,4,730.0,635.5,731.1,-23.9,20.0,-23.9,731.1,0,WIN
2020-08-12,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-08-13,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-08-14,4,2,2,815.0,739.4,393.6,-23.9,50.0,-23.9,608.6,0,WIN
2020-08-17,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-08-18,4,1,3,735.0,659.4,731.1,-23.9,25.0,-23.9,731.1,0,WIN
2020-08-19,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-08-20,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-08-21,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-08-24,5,3,2,1232.5,1138.0,395.27,-23.9,60.0,-23.9,583.6,0,WIN
2020-08-25,4,1,3,435.0,359.4,431.1,-23.9,25.0,-23.9,431.1,0,WIN
2020-08-26,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-08-27,5,2,3,1475.0,1380.5,726.1,-23.9,40.0,-23.9,976.1,0,WIN
2020-08-28,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-08-31,5,1,4,475.0,380.5,476.1,-23.9,20.0,-23.9,476.1,0,WIN
2020-09-01,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-09-02,4,1,3,980.0,904.4,976.1,-23.9,25.0,-23.9,976.1,0,WIN
2020-09-03,5,1,4,275.0,180.5,276.1,-23.9,20.0,-23.9,276.1,0,WIN
2020-09-04,6,2,4,770.0,656.6,376.1,-23.9,33.33,-23.9,476.1,0,WIN
2020-09-07,2,1,1,140.0,102.2,126.1,-23.9,50.0,-23.9,126.1,0,WIN
2020-09-08,5,2,3,425.0,330.5,201.1,-23.9,40.0,-23.9,276.1,0,WIN
2020-09-09,6,2,4,1120.0,1006.6,551.1,-23.9,33.33,-23.9,976.1,0,WIN
2020-09-10,5,2,3,625.0,530.5,301.1,-23.9,40.0,-23.9,476.1,0,WIN
2020-09-11,6,3,3,1120.0,1006.6,359.43,-23.9,50.0,-23.9,476.1,0,WIN
2020-09-14,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-09-15,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-09-16,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-09-17,6,2,4,1120.0,1006.6,551.1,-23.9,33.33,-23.9,976.1,0,WIN
2020-09-21,5,2,3,1125.0,1030.5,551.1,-23.9,40.0,-23.9,976.1,0,WIN
2020-09-22,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-09-23,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-09-24,8,6,2,3410.0,3258.8,551.1,-23.9,75.0,-23.9,976.1,0,WIN
2020-09-25,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-09-28,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-09-29,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-09-30,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-10-01,5,2,3,1432.5,1338.0,704.85,-23.9,40.0,-23.9,976.1,0,WIN
2020-10-02,8,5,3,1010.0,858.8,186.1,-23.9,62.5,-23.9,276.1,0,WIN
2020-10-05,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-10-06,7,3,4,1265.0,1132.7,409.43,-23.9,42.86,-23.9,976.1,0,WIN
2020-10-07,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-10-08,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-10-09,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-10-12,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-10-13,5,2,3,425.0,330.5,201.1,-23.9,40.0,-23.9,276.1,0,WIN
2020-10-14,4,1,3,980.0,904.4,976.1,-23.9,25.0,-23.9,976.1,0,WIN
2020-10-15,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-10-16,6,2,4,1270.0,1156.6,626.1,-23.9,33.33,-23.9,976.1,0,WIN
2020-10-19,5,2,3,1275.0,1180.5,626.1,-23.9,40.0,-23.9,976.1,0,WIN
2020-10-20,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-10-21,6,2,4,420.0,306.6,201.1,-23.9,33.33,-23.9,276.1,0,WIN
2020-10-22,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-10-23,5,1,4,180.0,85.5,181.1,-23.9,20.0,-23.9,181.1,0,WIN
2020-10-26,6,2,4,420.0,306.6,201.1,-23.9,33.33,-23.9,276.1,0,WIN
2020-10-27,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-10-28,5,1,4,275.0,180.5,276.1,-23.9,20.0,-23.9,276.1,0,WIN
2020-10-29,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-10-30,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-11-02,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-11-03,5,1,4,475.0,380.5,476.1,-23.9,20.0,-23.9,476.1,0,WIN
2020-11-04,6,3,3,720.0,606.6,226.1,-23.9,50.0,-23.9,276.1,0,WIN
2020-11-05,5,2,3,1275.0,1180.5,626.1,-23.9,40.0,-23.9,976.1,0,WIN
2020-11-06,6,2,4,270.0,156.6,126.1,-23.9,33.33,-23.9,126.1,0,WIN
2020-11-09,6,3,3,1420.0,1306.6,459.43,-23.9,50.0,-23.9,976.1,0,WIN
2020-11-10,7,4,3,715.0,582.7,163.6,-23.9,57.14,-23.9,276.1,0,WIN
2020-11-11,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-11-12,6,2,4,570.0,456.6,276.1,-23.9,33.33,-23.9,276.1,0,WIN
2020-11-13,4,1,3,130.0,54.4,126.1,-23.9,25.0,-23.9,126.1,0,WIN
2020-11-16,5,1,4,355.0,260.5,356.1,-23.9,20.0,-23.9,356.1,0,WIN
2020-11-17,5,2,3,752.5,658.0,364.85,-23.9,40.0,-23.9,453.6,0,WIN
2020-11-18,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-11-19,6,3,3,422.5,309.1,126.93,-23.9,50.0,-23.9,128.6,0,WIN
2020-11-20,5,2,3,1092.5,998.0,534.85,-23.9,40.0,-23.9,976.1,0,WIN
2020-11-23,6,3,3,1270.0,1156.6,409.43,-23.9,50.0,-23.9,976.1,0,WIN
2020-11-24,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-11-25,5,2,3,192.5,98.0,84.85,-23.9,40.0,-23.9,126.1,0,WIN
2020-11-26,3,1,2,985.0,928.3,976.1,-23.9,33.33,-23.9,976.1,0,WIN
2020-11-27,3,1,2,285.0,228.3,276.1,-23.9,33.33,-23.9,276.1,0,WIN
2020-11-30,5,1,4,575.0,480.5,576.1,-23.9,20.0,-23.9,576.1,0,WIN
2020-12-01,5,2,3,745.0,650.5,361.1,-23.9,40.0,-23.9,596.1,0,WIN
2020-12-02,5,1,4,475.0,380.5,476.1,-23.9,20.0,-23.9,476.1,0,WIN
2020-12-03,4,1,3,280.0,204.4,276.1,-23.9,25.0,-23.9,276.1,0,WIN
2020-12-04,5,2,3,457.5,363.0,217.35,-23.9,40.0,-23.9,308.6,0,WIN
2020-12-07,5,2,3,895.0,800.5,436.1,-23.9,40.0,-23.9,746.1,0,WIN
2020-12-08,4,1,3,625.0,549.4,621.1,-23.9,25.0,-23.9,621.1,0,WIN
2020-12-09,6,2,4,420.0,306.6,201.1,-23.9,33.33,-23.9,276.1,0,WIN
2020-12-10,5,3,2,1232.5,1138.0,395.27,-23.9,60.0,-23.9,476.1,0,WIN
2020-12-11,5,1,4,475.0,380.5,476.1,-23.9,20.0,-23.9,476.1,0,WIN
2020-12-14,5,1,4,975.0,880.5,976.1,-23.9,20.0,-23.9,976.1,0,WIN
2020-12-15,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-12-16,5,1,4,125.0,30.5,126.1,-23.9,20.0,-23.9,126.1,0,WIN
2020-12-17,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-12-21,6,1,5,270.0,156.6,276.1,-23.9,16.67,-23.9,276.1,0,WIN
2020-12-22,4,2,2,1722.5,1646.9,847.35,-23.9,50.0,-23.9,976.1,0,WIN
2020-12-23,5,0,5,-25.0,-119.5,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-12-24,3,0,3,-15.0,-71.7,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
2020-12-28,4,0,4,-20.0,-95.6,0.0,-23.9,0.0,-23.9,-23.9,0,LOSS
